Time(dd/MMM/yyyy HH:mm:ss),Depth(m),Speed(kts),SecondarySpeed(kts),Course(Degs),Secondary Course(Degs),Range(yds),Bearing(Degs),Rel Brg(Degs),ATB(Degs),Brg Rate(Degs/sec)
22/Jul/2009 04:15:22,31,4.88,4.95,238.8,224.5,3865,305.2,66.4,-99.3,0.0034166667
22/Jul/2009 04:16:45,31,4.93,4.95,238.7,224.5,3803,305.1,66.4,-99.4,0.0030833333
22/Jul/2009 04:18:25,31,5.15,4.95,239.2,224.5,3737,304.7,65.5,-99.8,0.0016333333
22/Jul/2009 04:20:36,31,5.02,4.95,238.9,224.5,3644,304.3,65.4,-100.2,0.0027
22/Jul/2009 04:23:12,31,5.07,4.95,239.8,224.5,3528,304,64.2,-100.5,0.0027333333
22/Jul/2009 04:25:48,31,5.16,5.3,240.1,229.5,3462,303.2,63.1,-106.3,0.00455
22/Jul/2009 04:28:24,31,5.09,5.67,238.9,233.8,3436,302.3,63.4,-111.5,0.0068
22/Jul/2009 04:31:00,31,5.11,5.94,239.9,236.7,3451,300.8,60.9,-115.9,0.0081833333
22/Jul/2009 04:33:36,31,5,6.08,239.3,238.6,3481,299.6,60.4,-119,0.0090333333
22/Jul/2009 04:36:12,31,5.04,6.1,240.3,239.7,3533,298.2,57.9,-121.5,0.0085
22/Jul/2009 04:38:48,31,5.07,5.98,239.6,239.9,3570,297.2,57.6,-122.7,0.0067666667
22/Jul/2009 04:41:24,31,4.96,5.72,240,239.3,3605,296.3,56.3,-123,0.006
22/Jul/2009 04:44:00,31,5.15,5.33,239.9,237.8,3600,296,56.1,-121.8,0.0023
22/Jul/2009 04:46:36,31,5.04,4.82,240.4,234.9,3565,295.9,55.5,-119,0.0005666667
22/Jul/2009 04:48:18,31,5.11,4,239.6,228,3505,296.3,56.7,-111.7,-0.00505
22/Jul/2009 04:49:37,31,5,4,239.5,228,3445,296.7,57.2,-111.3,-0.0044
22/Jul/2009 04:50:49,31,4.95,4,240.1,228,3394,297,56.8,-111,-0.00385
22/Jul/2009 04:52:01,31,5,4,239.5,228,3343,297.3,57.8,-110.7,-0.0046833333
22/Jul/2009 04:53:13,31,5.03,4,239.2,228,3291,297.6,58.4,-110.3,-0.0051833333
22/Jul/2009 04:54:44,31,5.09,4,239.8,228,3232,297.9,58.1,-110.1,-0.0056
22/Jul/2009 04:55:56,31,4.95,4,239.2,228,3182,298.3,59.1,-109.7,-0.0048333333
22/Jul/2009 04:57:04,31,5.01,4,239.8,228,3126,298.8,59,-109.1,-0.0052666667
22/Jul/2009 04:58:15,31,4.98,4,239.2,228,3078,299.3,60.1,-108.7,-0.0054666667
22/Jul/2009 04:59:19,31,4.88,4,240.2,228,3033,299.6,59.4,-108.4,-0.00425
22/Jul/2009 05:00:43,31,4.99,4,239.9,228,2980,299.8,60,-108.1,-0.00555
22/Jul/2009 05:02:11,31,5.11,4,238.9,228,2919,300.3,61.4,-107.6,-0.0074
22/Jul/2009 05:03:26,31,5,4,239.3,228,2860,301,61.7,-106.9,-0.0064333333
22/Jul/2009 05:04:34,31,4.86,4,240.1,228,2818,301.2,61.1,-106.7,-0.0048
22/Jul/2009 05:06:02,31,4.93,4,239.4,228,2762,301.7,62.4,-106.2,-0.0061
22/Jul/2009 05:07:57,31,4.92,4,239.3,228,2681,302.7,63.4,-105.3,-0.0064333333
22/Jul/2009 05:09:13,31,5,4,239.6,228,2636,302.9,63.3,-105.1,-0.00735
22/Jul/2009 05:10:44,31,4.88,4,238.2,228,2580,303.4,65.2,-104.6,-0.0069333333
22/Jul/2009 05:12:00,31,4.93,4,239.7,228,2526,304.1,64.4,-103.8,-0.0071166667
22/Jul/2009 05:13:20,31,5.12,4,239.6,228,2473,304.8,65.3,-103.1,-0.0097833333
22/Jul/2009 05:14:04,31,5,4,239.1,228,2448,305,65.9,-103,-0.0087166667
22/Jul/2009 05:15:35,31,4.9,4,239.1,228,2384,306,66.9,-102,-0.0079833333
22/Jul/2009 05:16:39,31,4.95,4,238.6,228,2344,306.5,67.9,-101.5,-0.0091166667
22/Jul/2009 05:18:11,31,4.89,4,239.3,228,2290,306.9,67.7,-101,-0.00835
22/Jul/2009 05:19:11,31,4.84,4,239.2,228,2251,307.7,68.5,-100.3,-0.0080666667
22/Jul/2009 05:20:30,31,4.65,4,239.2,228,2204,308.3,69.1,-99.6,-0.0058
22/Jul/2009 05:21:30,31,4.74,4,239.8,228,2174,308.5,68.7,-99.5,-0.0069
22/Jul/2009 05:22:22,31,4.82,4,239.2,228,2141,309,69.8,-98.9,-0.00855
22/Jul/2009 05:23:18,31,4.72,4,239.6,228,2107,309.6,70,-98.4,-0.0072333333
22/Jul/2009 05:24:17,31,4.82,4,238.9,228,2076,309.8,71,-98.1,-0.0091833333
22/Jul/2009 05:25:05,31,4.82,4,239.4,228,2048,310.3,70.9,-97.7,-0.0092166667
22/Jul/2009 05:25:49,31,4.82,4,239.9,228,2018,311,71.1,-97,-0.0093333333
